(40.78989028930664, 29.508546829223633),
(40.78989028930664, 29.5085506439209),
(40.789886474609375, 29.508544921875),
(40.78988265991211, 29.508543014526367),
(40.789878845214844, 29.508541107177734),
(40.78986358642578, 29.50853729248047),
(40.789859771728516, 29.508544921875),
(40.78987503051758, 29.508563995361328),
(40.78987121582031, 29.508563995361328),
(40.78986740112305, 29.50857162475586),
(40.789859771728516, 29.508575439453125),
(40.789852142333984, 29.508581161499023),
(40.78984451293945, 29.50857162475586),
(40.789833068847656, 29.50857925415039),
(40.78982925415039, 29.508590698242188),
(40.789825439453125, 29.508586883544922),
(40.78982162475586, 29.508588790893555),
(40.789817810058594, 29.50859260559082),
(40.7898063659668, 29.508588790893555),
(40.789794921875, 29.50858497619629),
(40.789794921875, 29.508590698242188),
(40.789772033691406, 29.508563995361328),
(40.789772033691406, 29.50855255126953),
(40.789772033691406, 29.508554458618164),
(40.789764404296875, 29.508546829223633),
(40.789756774902344, 29.50855255126953),
(40.78974151611328, 29.508567810058594),
(40.78972625732422, 29.50856590270996),
(40.78972625732422, 29.508567810058594),
(40.78972244262695, 29.50856590270996),
(40.78973388671875, 29.50851821899414),
(40.78972625732422, 29.508514404296875),
(40.789730072021484, 29.508514404296875),
(40.78974914550781, 29.50852394104004),
(40.78975296020508, 29.508527755737305),
(40.78977966308594, 29.50847816467285),
(40.78976821899414, 29.508499145507812),
(40.78976821899414, 29.508495330810547),
(40.78975296020508, 29.508501052856445),
(40.789737701416016, 29.508516311645508),
(40.78972244262695, 29.508520126342773),
(40.78970718383789, 29.508514404296875),
(40.78969192504883, 29.508525848388672),
(40.78969192504883, 29.508527755737305),
(40.7896842956543, 29.5085391998291),
(40.7896728515625, 29.508556365966797),
(40.78966522216797, 29.508562088012695),
(40.78966522216797, 29.508562088012695),
(40.78968811035156, 29.508573532104492),
(40.789703369140625, 29.50857925415039),
(40.78972625732422, 29.508573532104492),
(40.78975296020508, 29.508567810058594),
(40.78976821899414, 29.508556365966797),
(40.789772033691406, 29.50856590270996),
(40.78977584838867, 29.508567810058594),
(40.78977584838867, 29.508577346801758),
(40.7897834777832, 29.508573532104492),
(40.789794921875, 29.508575439453125),
(40.78984832763672, 29.508556365966797),
(40.789859771728516, 29.508573532104492),
(40.78984451293945, 29.508581161499023),
(40.78984451293945, 29.508588790893555),
(40.78984832763672, 29.50859260559082),
(40.78984069824219, 29.508590698242188),
(40.78984069824219, 29.50859260559082),
(40.78984451293945, 29.508590698242188),
(40.78984451293945, 29.508588790893555),
(40.78984832763672, 29.508586883544922),
(40.789833068847656, 29.508583068847656),
(40.78983688354492, 29.508577346801758),
(40.78982925415039, 29.50857162475586),
(40.78982925415039, 29.508569717407227),
(40.78982162475586, 29.508567810058594),
(40.789817810058594, 29.50856590270996),
(40.78981018066406, 29.508563995361328),
(40.78980255126953, 29.508563995361328),
(40.789794921875, 29.508562088012695),
(40.789798736572266, 29.50857162475586),
(40.789794921875, 29.508577346801758),
(40.789794921875, 29.508586883544922),
(40.78982162475586, 29.508607864379883),
(40.78982925415039, 29.50860595703125),
(40.78984069824219, 29.50861167907715),
(40.78984451293945, 29.50862693786621),
(40.78985595703125, 29.50861930847168),
(40.78986358642578, 29.50862693786621),
(40.789894104003906, 29.508623123168945),
(40.789894104003906, 29.508651733398438),
(40.789920806884766, 29.50867462158203),
(40.789955139160156, 29.50870704650879),
(40.78996276855469, 29.508718490600586),
(40.78998947143555, 29.508743286132812),
(40.79001998901367, 29.508769989013672),
(40.79001235961914, 29.508785247802734),
(40.790042877197266, 29.508819580078125),
(40.790069580078125, 29.508859634399414),
(40.79008102416992, 29.50885581970215),
(40.79009246826172, 29.50890350341797),
(40.790130615234375, 29.50895118713379),
(40.790096282958984, 29.50897789001465),
(40.79009246826172, 29.50899887084961),
(40.79011535644531, 29.50896453857422),
(40.79011154174805, 29.508930206298828),
(40.79008865356445, 29.50887680053711),
(40.79014587402344, 29.508882522583008),
(40.79019546508789, 29.508922576904297),
(40.79018020629883, 29.50887680053711),
(40.790164947509766, 29.508825302124023),
(40.790164947509766, 29.508808135986328),
(40.7901725769043, 29.508779525756836),
(40.79011154174805, 29.508731842041016),
(40.79008102416992, 29.50871467590332),
(40.79008865356445, 29.508691787719727),
(40.790069580078125, 29.508682250976562),
(40.79007339477539, 29.508691787719727),
(40.79004669189453, 29.508682250976562),
(40.79004669189453, 29.508670806884766),
(40.7900276184082, 29.5086612701416),
(40.79002380371094, 29.50865936279297),
(40.79002380371094, 29.50864601135254),
(40.79001998901367, 29.50862693786621),
(40.79002380371094, 29.508625030517578),
(40.790016174316406, 29.508617401123047),
(40.790016174316406, 29.508573532104492),
(40.79001235961914, 29.508554458618164),
(40.78999328613281, 29.508535385131836),
(40.78997802734375, 29.508527755737305),
(40.78996658325195, 29.50851058959961),
(40.78995895385742, 29.50848388671875),
(40.7899169921875, 29.508502960205078),
(40.7899055480957, 29.508514404296875),
(40.78989028930664, 29.50852394104004),
(40.78988265991211, 29.508520126342773),
(40.789878845214844, 29.50851821899414),
(40.78987121582031, 29.508522033691406),
(40.78987121582031, 29.508525848388672),
